ulb,district,type,basis,sewage_mld,installed_stp_mld,utilised_stp_mld,gap_mld,calculated_gap,utilisation_pct,treatment_coverage_pct
Jamraval,Devbhumi Dwarka,RCM,Calculated as per 80% of Water Supply,1.87,2.6,0.0,1.87,1.87,0.0,0.0
Jasdan,Rajkot,RCM,Calculated as per 80% of Water Supply,4.96,8.8,4.2,0.76,0.7599999999999998,47.73,84.68
Jetpur,Rajkot,RCM,Calculated as per 80% of Water Supply,7.85,23.5,6.0,1.85,1.8499999999999996,25.53,76.43
Junagadh Municipal Corporation,Junagadh,MC,Calculated as per 80% of Water Supply,40.9,8.2,8.2,32.7,32.7,100.0,20.05
Kaalol,Panchmahal,RCM,Calculated as per 80% of Water Supply,3.66,4.8,1.5,2.16,2.16,31.25,40.98
Kadi,Mahesana,RCM,Calculated as per 80% of Water Supply,13.42,12.8,12.8,0.62,0.6199999999999992,100.0,95.38
Kadodara,Surat,RCM,Calculated as per 80% of Water Supply,4.43,0.0,0.0,4.43,4.43,,0.0
Kalavad,Jamnagar,RCM,Calculated as per 80% of Water Supply,2.07,4.5,1.5,0.57,0.5699999999999998,33.33,72.46
Kalol,Gandhinagar,RCM,Calculated as per 80% of Water Supply,16.51,33.1,0.0,16.51,16.51,0.0,0.0
Kanjari,Kheda,RCM,Calculated as per 80% of Water Supply,3.3,3.3,3.3,0.0,0.0,100.0,100.0
Kapadvanj,Kheda,RCM,Calculated as per 80% of Water Supply,5.43,6.2,3.5,1.93,1.9299999999999997,56.45,64.46
Karamsad,Anand,RCM,Calculated as per 80% of Water Supply,4.4,7.0,0.0,4.4,4.4,0.0,0.0
Karjan,Vadodara,RCM,Calculated as per 80% of Water Supply,5.2,5.2,5.2,0.0,0.0,100.0,100.0
Kathlal,Kheda,RCM,Calculated as per 80% of Water Supply,3.15,4.5,0.0,3.15,3.15,0.0,0.0
Keshod,Junagadh,RCM,Calculated as per 80% of Water Supply,7.79,13.3,0.0,7.79,7.79,0.0,0.0
Khambhaliya,Devbhumi Dwarka,RCM,Calculated as per 80% of Water Supply,4.62,5.5,0.0,4.62,4.62,0.0,0.0
Khambhat,Devbhumi Dwarka,RCM,Calculated as per 80% of Water Supply,8.82,11.3,0.0,8.82,8.82,0.0,0.0
Kheda,Kheda,RCM,Calculated as per 80% of Water Supply,5.2,5.2,5.2,0.0,0.0,100.0,100.0
Khedbramha,Sabarkantha,RCM,Calculated as per 80% of Water Supply,4.23,5.8,2.0,2.23,2.2300000000000004,34.48,47.28
Kheralu,Mahesana,RCM,Calculated as per 80% of Water Supply,2.46,2.9,1.9,0.56,0.56,65.52,77.24
KodInar,Gir Somnath,RCM,Calculated as per 80% of Water Supply,3.1,5.6,0.0,3.1,3.1,0.0,0.0
Kutiyana,Porbandar,RCM,Calculated as per 80% of Water Supply,1.97,2.9,0.0,1.97,1.97,0.0,0.0
Lathi,Amreli,RCM,Calculated as per 80% of Water Supply,2.49,3.8,0.0,2.49,2.49,0.0,0.0
Limbdi,Surendranagar,RCM,Calculated as per 80% of Water Supply,5.67,7.74,0.0,5.67,5.67,0.0,0.0
Lunavada,Mahisagar,RCM,Calculated as per 80% of Water Supply,6.32,5.6,0.0,6.32,6.32,0.0,0.0
Mahemdabad,Kheda,RCM,Calculated as per 80% of Water Supply,5.6,5.6,5.6,0.0,0.0,100.0,100.0
Mahesana,Mahesana,New MC,Calculated as per 80% of Water Supply,29.88,41.64,0.0,29.88,29.88,0.0,0.0
Mahudha,Kheda,RCM,Calculated as per 80% of Water Supply,2.89,4.0,0.0,2.89,2.89,0.0,0.0
Mahuva,Bhavnagar,RCM,Calculated as per 80% of Water Supply,19.36,16.3,7.0,12.36,12.36,42.94,36.16
Maliya-Miyana,Morbi,RCM,Calculated as per 80% of Water Supply,1.3,2.5,0.0,1.3,1.3,0.0,0.0
Manavadar,Junagadh,RCM,Calculated as per 80% of Water Supply,2.21,4.9,0.0,2.21,2.21,0.0,0.0
Mandvi (Kutch),Kutch,RCM,Calculated as per 80% of Water Supply,5.76,8.5,0.0,5.76,5.76,0.0,0.0
Mandvi (Surat),Surat,RCM,Calculated as per 80% of Water Supply,2.03,3.5,0.0,2.03,2.03,0.0,0.0
Mangrol,Junagadh,RCM,Calculated as per 80% of Water Supply,6.87,13.2,0.0,6.87,6.87,0.0,0.0
Mansa,Gandhinagar,RCM,Calculated as per 80% of Water Supply,5.0,5.0,5.0,0.0,0.0,100.0,100.0
Modasa,Aravalli,RCM,Calculated as per 80% of Water Supply,8.12,12.0,0.0,8.12,8.12,0.0,0.0
Morbi,Morbi,New MC,Calculated as per 80% of Water Supply,29.44,38.1,5.0,24.44,24.44,13.12,16.98
Mundra-Baroi,Kutch,RCM,Calculated as per 80% of Water Supply,6.28,10.0,0.0,6.28,6.28,0.0,0.0
